candidate,n_folds,seed,fold,system,coef,coef_norm,intercept
ours+4base,5,44,3,LFCC-GMM,0.26391638017180025,0.13209689761563737,-2.0947766962252103
ours+4base,5,44,3,LFCC-LCNN,0.11635126207078825,0.05823678220809945,-2.0947766962252103
ours+4base,5,44,3,RawNet2,-0.08585970603611336,-0.042974978628374925,-2.0947766962252103
ours+4base,5,44,4,timepool_T150_aug,1.0223896389782732,0.5304000948605515,-2.1688640675190225
ours+4base,5,44,4,CQCC-GMM,0.4355678667834942,0.22596594199746475,-2.1688640675190225
ours+4base,5,44,4,LFCC-GMM,0.3099055075286218,0.16077423354490927,-2.1688640675190225
ours+4base,5,44,4,LFCC-LCNN,0.11458959255076417,0.059447326578638056,-2.1688640675190225
ours+4base,5,44,4,RawNet2,-0.0451293250162905,-0.023412403018436518,-2.1688640675190225
ours+all,5,44,0,timepool_T150_aug,0.7957728445782014,0.38057302380436814,-2.207303755438307
ours+all,5,44,0,flatten_T400_aug,0.4163929682348939,0.19913714333394417,-2.207303755438307
ours+all,5,44,0,CQCC-GMM,0.36169988281634635,0.1729805421873443,-2.207303755438307
ours+all,5,44,0,LFCC-GMM,0.33407554491132824,0.15976938792550363,-2.207303755438307
ours+all,5,44,0,LFCC-LCNN,0.070887228550948,0.033901341447564924,-2.207303755438307
ours+all,5,44,0,RawNet2,-0.11215747789769578,-0.053638561301274784,-2.207303755438307
ours+all,5,44,1,timepool_T150_aug,0.7034108026115231,0.3356686078860295,-2.22314225190105
ours+all,5,44,1,flatten_T400_aug,0.4934649432864791,0.23548215344228982,-2.22314225190105
ours+all,5,44,1,CQCC-GMM,0.3529706652085507,0.16843808962739842,-2.22314225190105
ours+all,5,44,1,LFCC-GMM,0.3364557549045406,0.16055715158873246,-2.22314225190105
ours+all,5,44,1,LFCC-LCNN,0.10006716287870053,0.04775218852751767,-2.22314225190105
ours+all,5,44,1,RawNet2,-0.10918201575770495,-0.052101808928032206,-2.22314225190105
ours+all,5,44,2,timepool_T150_aug,0.791122308147823,0.39306882488396333,-2.1368160296150474
ours+all,5,44,2,flatten_T400_aug,0.5123590082866827,0.25456538291463343,-2.1368160296150474
ours+all,5,44,2,CQCC-GMM,0.3629954723136245,0.18035416555824785,-2.1368160296150474
ours+all,5,44,2,LFCC-GMM,0.29516048945213935,0.14665037952570234,-2.1368160296150474
ours+all,5,44,2,LFCC-LCNN,0.015373303320948481,0.007638220043494015,-2.1368160296150474
ours+all,5,44,2,RawNet2,-0.03567080673532397,-0.017723027073958942,-2.1368160296150474
ours+all,5,44,3,timepool_T150_aug,0.7601626782611712,0.37104836019047144,-2.1393863810883693
ours+all,5,44,3,flatten_T400_aug,0.47172789515261687,0.2302584262001143,-2.1393863810883693
ours+all,5,44,3,CQCC-GMM,0.4397097750669511,0.21462983603919858,-2.1393863810883693
ours+all,5,44,3,LFCC-GMM,0.2531573493094462,0.12357041725108657,-2.1393863810883693
ours+all,5,44,3,LFCC-LCNN,0.03949127499593344,0.01927636445213328,-2.1393863810883693
ours+all,5,44,3,RawNet2,-0.08443998482295008,-0.0412165958669959,-2.1393863810883693
ours+all,5,44,4,timepool_T150_aug,0.7978913543445073,0.4015338914595516,-2.2006011118237163
ours+all,5,44,4,flatten_T400_aug,0.3525275429041012,0.17740730661914111,-2.2006011118237163
ours+all,5,44,4,CQCC-GMM,0.4126897515284959,0.2076835661828263,-2.2006011118237163
ours+all,5,44,4,LFCC-GMM,0.30807947605315733,0.1550390917571365,-2.2006011118237163
ours+all,5,44,4,LFCC-LCNN,0.06576560285517292,0.03309613306979025,-2.2006011118237163
ours+all,5,44,4,RawNet2,-0.05015463680210613,-0.025240010911554187,-2.2006011118237163
ours,5,45,0,timepool_T150_aug,1.1802802085876465,1.0,-2.089207172393799
ours,5,45,1,timepool_T150_aug,1.1394367218017578,1.0,-2.033662796020508
ours,5,45,2,timepool_T150_aug,1.1709449291229248,1.0,-1.9986411333084106
ours,5,45,3,timepool_T150_aug,1.1685352325439453,1.0,-1.9658008813858032
ours,5,45,4,timepool_T150_aug,1.17645263671875,1.0,-2.003146171569824
ours+2GMM,5,45,0,timepool_T150_aug,1.0836058317160435,0.5833788093451915,-2.2133799220521833
ours+2GMM,5,45,0,CQCC-GMM,0.37244107679908545,0.20051039370119197,-2.2133799220521833
ours+2GMM,5,45,0,LFCC-GMM,0.40141828281111686,0.21611079695361657,-2.2133799220521833
ours+2GMM,5,45,1,timepool_T150_aug,1.0483334618214692,0.6049176794826105,-2.13750790250797
ours+2GMM,5,45,1,CQCC-GMM,0.4089951328174841,0.23600161177128212,-2.13750790250797
ours+2GMM,5,45,1,LFCC-GMM,0.27568979344670264,0.15908070874610733,-2.13750790250797
ours+2GMM,5,45,2,timepool_T150_aug,1.0819226193868476,0.609135439424835,-2.1042366909258714
ours+2GMM,5,45,2,CQCC-GMM,0.4049858636329128,0.22801190915546868,-2.1042366909258714
ours+2GMM,5,45,2,LFCC-GMM,0.2892525303805327,0.16285265141969646,-2.1042366909258714
ours+2GMM,5,45,3,timepool_T150_aug,1.068879575220996,0.6013306227736527,-2.071621700063268
ours+2GMM,5,45,3,CQCC-GMM,0.4097268406732981,0.2305042607051547,-2.071621700063268
ours+2GMM,5,45,3,LFCC-GMM,0.2989175197582129,0.1681651165211927,-2.071621700063268
ours+2GMM,5,45,4,timepool_T150_aug,1.086914942244851,0.589368689565502,-2.1263648610874903
ours+2GMM,5,45,4,CQCC-GMM,0.41570271489293736,0.2254106138418327,-2.1263648610874903
ours+2GMM,5,45,4,LFCC-GMM,0.34158438733483715,0.18522069659266527,-2.1263648610874903
